#refdes,footprint,value,description,cost,device,mfr,mfrpn,dst,dstpn,link,link_page,supplier,sbapn,kitting,kitting_d,Xpos,Ypos,rot,side
VSYS2,"XT60","60A",$0.80 HobbyKing XT60,$0.80,CONNECTOR_2,HobbyKing,XT60,HobbyKing,XT60,www.hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,N/A,c,,other,not known to be available in machine usable format,16.96,6.18,180,top
VPSU2,"XT60","60A",$0.80 HobbyKing XT60,$0.80,CONNECTOR_2,HobbyKing,XT60,HobbyKing,XT60,www.hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,N/A,c,,other,not known to be available in machine usable format,16.32,10.40,180,top
PSU1,"ACY100P","unknown",,,VOLTAGE_SOURCE,,,,,,,,,,,16.41,10.74,180,top
VHEATSLAB2,"XT60","60A",$0.80 HobbyKing XT60,$0.80,CONNECTOR_2,HobbyKing,XT60,HobbyKing,XT60,www.hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,N/A,c,,other,not known to be available in machine usable format,15.54,8.63,270,top
U1,"DIP6","unknown",,,LCB110,,,,,,,,,,,15.93,8.60,270,top
VSLAB1,"XT60","60A",$0.80 HobbyKing XT60,$0.80,CONNECTOR_2,HobbyKing,XT60,HobbyKing,XT60,www.hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,N/A,c,,other,not known to be available in machine usable format,16.27,8.63,270,top
VSYS3,"XT60","60A",$0.80 HobbyKing XT60,$0.80,CONNECTOR_2,HobbyKing,XT60,HobbyKing,XT60,www.hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,N/A,c,,other,not known to be available in machine usable format,16.13,8.12,0,top
VHEATSLAB1,"XT60","60A",$0.80 HobbyKing XT60,$0.80,CONNECTOR_2,HobbyKing,XT60,HobbyKing,XT60,www.hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,N/A,c,,other,not known to be available in machine usable format,15.09,8.63,270,top
T110,"JUMPER1","unknown",,,terminal,,,,,,,,,,,15.41,3.98,0,top
T109,"JUMPER1","unknown",,,terminal,,,,,,,,,,,15.62,3.98,0,top
T108,"JUMPER1","unknown",,,terminal,,,,,,,,,,,15.83,3.98,0,top
T107,"JUMPER1","unknown",,,terminal,,,,,,,,,,,16.04,3.98,0,top
T106,"JUMPER1","unknown",,,terminal,,,,,,,,,,,16.25,3.98,0,top
T100,"JUMPER1","unknown",,,terminal,,,,,,,,,,,16.46,3.98,0,top
T111,"JUMPER1","unknown",,,terminal,,,,,,,,,,,16.66,3.98,0,top
T105,"JUMPER1","unknown",,,terminal,,,,,,,,,,,16.88,3.98,0,top
T104,"JUMPER1","unknown",,,terminal,,,,,,,,,,,17.09,3.98,0,top
T103,"JUMPER1","unknown",,,terminal,,,,,,,,,,,17.30,3.98,0,top
T102,"JUMPER1","unknown",,,terminal,,,,,,,,,,,17.50,3.98,0,top
T101,"JUMPER1","unknown",,,terminal,,,,,,,,,,,17.71,3.98,0,top
